Metro Name,Predominant State,Metro population,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,UV Index,Latitude,Longitude
Decatur,Alabama,155697,699,$64112,21%,40,$241819,1773,$136,36,75%,$696,46%,N/A,N/A,12%,3%,56%,22%,73%,0%,13%,77%,2%,1%,Central Standard Time,89,51,38,69,30,57%,57%,49,67,98,58%,63%,49%,58,13.03,17.51,33%,33%,39%,2,0,7,56,54,5,34.48778750226674,-87.0200625864711
Chambersburg-Waynesboro,Pennsylvania,155592,1968,$62956,22%,40,$212578,1634,$130,53,62%,$985,47%,284,2310,10%,3%,63%,24%,70%,1%,6%,79%,10%,6%,Eastern Standard Time,86,38,47,65,23,53%,53%,41,62,88,55%,61%,52%,43,11.85,9.19,34%,36%,32%,28,9,7,30,68,3,39.87351377016801,-77.65780298980275
Vineland-Bridgeton,New Jersey,154921,1378,$55685,16%,37,$258624,1487,$165,53,62%,$1125,57%,492,3153,17%,8%,58%,51%,45%,1%,19%,41%,36%,11%,Eastern Standard Time,87,42,44,67,24,55%,56%,43,63,91,53%,59%,47%,47,14.24,10.57,32%,32%,33%,21,8,7,27,70,4,39.42142218520218,-75.08842730726356
Idaho Falls,Idaho,154771,2475,$60183,30%,33,$378107,2427,$157,37,70%,$905,44%,262,1464,11%,4%,65%,19%,61%,0%,0%,80%,15%,4%,Mountain Standard Time,87,30,56,55,14,45%,25%,29,41,84,62%,79%,43%,13,2.24,3.0,23%,16%,28%,70,33,7,23,67,4,43.50605579516021,-112.01888861186053
Grand Junction,Colorado,154685,1905,$60957,29%,39,$388400,1591,$243,34,67%,$1065,49%,328,3388,12%,5%,61%,28%,64%,1%,0%,79%,15%,4%,Mountain Standard Time,94,37,57,65,17,36%,21%,29,41,91,69%,79%,60%,11,2.75,2.19,19%,16%,21%,18,14,7,33,71,5,39.094051109971616,-108.56007999836349
Elizabethtown-Fort Knox,Kentucky,154637,1172,$54624,23%,35,$253385,1908,$133,35,49%,$870,53%,174,2134,13%,6%,63%,31%,63%,2%,15%,69%,7%,4%,Eastern Standard Time,86,44,42,65,24,56%,55%,45,65,91,55%,65%,46%,54,13.63,12.65,38%,37%,38%,14,11,7,45,62,4,37.77578423615644,-85.9236275161239
Niles-Benton Harbor,Michigan,154263,2854,$47501,21%,40,$210776,1435,$143,58,64%,$803,59%,684,2581,25%,11%,61%,40%,53%,1%,35%,50%,7%,4%,Eastern Standard Time,83,33,49,62,19,61%,56%,40,60,85,51%,64%,37%,43,12.41,8.63,40%,34%,45%,60,29,N/A,41,77,3,42.00084197452449,-86.41256171215502
Monroe,Michigan,154068,1216,$70135,24%,41,$245905,1538,$157,45,79%,$946,52%,212,736,10%,5%,63%,37%,56%,0%,2%,88%,4%,2%,Central Standard Time,84,32,51,62,18,59%,54%,39,59,86,52%,67%,39%,36,10.83,7.22,36%,33%,40%,39,28,7,32,72,3,41.901084461474795,-83.49434936715082
Santa Fe,New Mexico,153632,1345,$61980,40%,45,$601401,1824,$333,34,69%,$1187,55%,N/A,N/A,12%,5%,60%,71%,20%,1%,1%,38%,54%,14%,Mountain Standard Time,86,42,44,51,18,29%,25%,30,45,84,76%,78%,73%,12,4.91,2.13,17%,27%,14%,28,14,N/A,39,75,6,35.67403177694794,-105.98905356095521
Concord,New Hampshire,152983,509,$73704,34%,40,$396065,1704,$237,50,65%,$1127,52%,130,1217,7%,4%,64%,48%,45%,3%,2%,88%,3%,6%,N/A,83,32,50,59,13,53%,51%,35,57,84,55%,62%,53%,46,13.15,10.79,36%,38%,37%,69,25,6,17,75,3,43.24283204626393,-71.57754293519322
Alexandria,Louisiana,152695,1334,$45840,22%,35,$168138,1878,$87,46,56%,$813,62%,1375,8004,23%,7%,57%,31%,65%,1%,44%,47%,3%,2%,Central Standard Time,92,59,33,73,38,61%,61%,58,72,108,66%,80%,48%,58,14.25,17.17,26%,29%,31%,0,0,7,74,51,5,31.30878484690709,-92.46768460307106
Traverse City,Michigan,152552,478,$61812,37%,44,$431261,1342,$320,51,73%,$872,52%,174,752,12%,4%,56%,39%,54%,0%,1%,90%,4%,2%,N/A,80,28,51,59,16,62%,55%,35,55,81,52%,65%,43%,35,8.97,6.7,42%,33%,52%,103,56,8,31,86,3,44.732030594119905,-85.61732568069303
Bangor,Maine,152211,510,$49557,37%,39,$271223,2063,$128,55,61%,$856,59%,74,2405,18%,4%,59%,40%,51%,1%,1%,90%,2%,4%,Eastern Standard Time,80,29,51,58,9,59%,59%,35,56,82,55%,60%,55%,45,11.91,10.28,38%,40%,39%,79,29,7,17,82,3,44.94153555743495,-68.79216944401102
Homosassa Springs,Florida,151888,838,$49440,19%,55,$293552,1653,$176,30,81%,$963,44%,N/A,N/A,14%,7%,38%,28%,67%,1%,3%,85%,6%,6%,Eastern Standard Time,91,69,22,72,43,56%,61%,62,72,104,69%,67%,65%,54,25.6,8.28,32%,55%,24%,0,0,6,82,68,6,28.86122617483572,-82.44995596792988
Hanford-Corcoran,California,151887,2795,$62200,14%,32,$327078,1552,$211,33,51%,$1077,51%,482,1630,17%,9%,54%,39%,52%,4%,7%,29%,56%,19%,Pacific Standard Time,98,57,41,65,36,40%,22%,46,52,96,76%,95%,49%,7,0.13,4.29,12%,0%,26%,0,0,6,5,58,5,36.243473123023506,-119.73179621864544
Jefferson City,Missouri,150956,1124,$57043,28%,36,$185270,1810,$101,44,63%,$681,55%,278,2572,12%,4%,59%,26%,67%,1%,12%,79%,3%,2%,Central Standard Time,88,41,47,68,21,60%,59%,43,64,94,57%,68%,48%,44,13.2,6.83,28%,30%,22%,17,7,N/A,52,63,4,38.62902423208969,-92.17201817282692
Florence-Muscle Shoals,Alabama,150131,1192,$45019,22%,37,$183913,1675,$110,45,61%,$738,55%,N/A,N/A,17%,4%,56%,27%,69%,0%,18%,73%,4%,2%,Central Standard Time,90,51,39,69,30,57%,56%,49,67,99,58%,63%,49%,56,13.66,16.26,31%,32%,35%,2,0,7,56,52,4,34.79327620509293,-87.65807400786947
Dothan,Alabama,150124,245,$47842,15%,41,$177437,1747,$104,40,70%,$725,48%,N/A,N/A,19%,4%,54%,21%,76%,0%,20%,72%,3%,1%,Central Standard Time,92,61,31,70,37,54%,58%,56,70,106,58%,61%,50%,57,16.76,17.16,30%,41%,33%,0,0,6,71,53,5,31.204387683950955,-85.478449303429
London,Kentucky,149519,920,$40300,20%,35,$222346,2047,$104,43,54%,$648,54%,135,2572,27%,8%,49%,14%,82%,0%,2%,92%,1%,1%,N/A,86,45,41,65,25,57%,61%,44,64,92,57%,66%,44%,54,15.19,13.62,37%,39%,40%,9,5,5,46,57,4,36.93293265248553,-84.06887442864256
Albany,Georgia,149298,712,$49521,15%,37,$122445,2020,$66,42,52%,$828,59%,N/A,N/A,28%,11%,58%,39%,59%,1%,56%,38%,1%,2%,Eastern Standard Time,91,59,32,71,37,53%,56%,55,70,103,63%,67%,56%,50,15.07,15.21,26%,36%,29%,0,0,5,68,45,4,31.62838717604464,-84.10606924263102
Sioux City,Iowa,148442,1477,$63304,21%,35,$202983,1657,$122,58,69%,$823,49%,382,3379,12%,3%,69%,34%,59%,2%,4%,67%,20%,11%,Central Standard Time,86,29,56,62,8,59%,58%,37,60,92,60%,71%,54%,31,12.71,3.02,27%,31%,22%,37,20,N/A,42,76,3,42.50915067974213,-96.3753144638464
Wichita Falls,Texas,148271,1313,$51779,22%,34,$195173,1573,$123,50,62%,$865,52%,317,2753,16%,4%,62%,21%,73%,2%,10%,64%,19%,5%,Central Standard Time,97,54,42,72,31,50%,46%,48,65,107,68%,76%,64%,29,7.89,3.76,19%,19%,14%,3,0,N/A,48,60,5,33.91545385205715,-98.53737169053547
Texarkana,Texas,147936,1187,$51967,24%,36,$191996,1925,$99,39,56%,$827,54%,550,3752,18%,5%,58%,25%,72%,1%,31%,55%,9%,5%,Central Standard Time,93,54,39,73,33,58%,56%,54,70,105,58%,69%,50%,53,11.16,13.91,29%,23%,35%,2,0,7,55,45,5,33.44700665895276,-94.15301645479634
Valdosta,Georgia,147256,1469,$35220,24%,30,$199845,1624,$123,35,39%,$831,64%,N/A,N/A,31%,5%,58%,39%,57%,1%,52%,38%,5%,3%,Eastern Standard Time,92,63,29,72,40,54%,59%,57,71,107,63%,65%,58%,53,18.53,13.72,30%,44%,29%,0,0,5,82,37,5,30.86131746820317,-83.29601278060161
Logan,Utah,145739,2126,$66052,38%,27,$443809,2260,$200,33,64%,$941,43%,217,1328,14%,2%,69%,18%,45%,1%,0%,82%,11%,6%,Mountain Standard Time,89,31,58,57,13,43%,23%,32,43,85,65%,82%,46%,17,2.01,4.65,25%,14%,32%,59,29,8,38,83,4,41.74705508725604,-111.84089543395656
Ottawa-Peru,Illinois,145590,1392,$58284,19%,41,$149829,1417,$106,61,71%,$832,49%,152,1427,13%,5%,63%,38%,54%,0%,1%,83%,11%,3%,N/A,84,30,53,63,14,60%,57%,39,61,87,53%,64%,44%,42,13.68,6.83,33%,33%,32%,30,15,8,46,74,3,41.37168223331217,-89.03036034161353
Flagstaff,Arizona,144942,954,$62336,46%,31,$651680,1815,$357,30,56%,$1311,61%,495,3084,16%,7%,63%,52%,37%,2%,1%,60%,17%,6%,Mountain Standard Time,84,44,40,55,19,38%,34%,26,39,84,76%,79%,73%,20,6.49,6.14,19%,26%,21%,70,19,6,54,82,6,35.340827758589455,-111.61551882510757
Rocky Mount,North Carolina,144237,1103,$46430,22%,42,$189736,1502,$125,40,55%,$807,58%,767,2987,19%,8%,57%,51%,46%,0%,58%,34%,3%,2%,Eastern Standard Time,89,51,38,69,30,53%,56%,47,66,96,59%,61%,55%,47,14.34,9.54,30%,32%,31%,4,1,6,42,66,4,35.95329504045154,-77.79040316675359
Pottsville,Pennsylvania,143308,2029,$54915,18%,41,$160554,1628,$100,59,73%,$724,56%,117,571,15%,6%,61%,26%,69%,0%,1%,90%,6%,2%,N/A,82,34,48,62,18,55%,54%,40,60,84,50%,62%,42%,52,16.0,10.82,38%,39%,38%,44,17,7,29,74,3,40.71260604747046,-76.19753034481138
Dalton,Georgia,142929,1420,$51822,19%,32,$218530,1333,$164,35,52%,$757,52%,0,1526,18%,4%,64%,24%,71%,1%,4%,46%,45%,23%,Eastern Standard Time,89,51,38,68,30,55%,56%,48,67,95,55%,60%,46%,59,15.02,15.99,32%,35%,36%,3,0,5,55,48,4,34.78368379492254,-84.94815576879088
Lebanon,Pennsylvania,142486,2646,$60658,21%,37,$207079,1572,$131,58,60%,$1017,53%,256,1700,14%,6%,64%,30%,64%,1%,2%,73%,20%,5%,Eastern Time Zone,85,37,47,64,21,55%,54%,41,62,87,54%,61%,50%,49,15.81,9.64,36%,38%,34%,25,10,7,30,59,3,40.33670679166011,-76.44287276182156
Morristown,Tennessee,141919,1043,$40829,18%,36,$279922,1832,$153,43,53%,$752,55%,656,3970,22%,8%,55%,19%,76%,0%,6%,74%,14%,7%,Eastern Standard Time,86,46,40,67,26,57%,58%,48,66,92,57%,66%,44%,50,13.62,13.58,37%,37%,43%,9,6,6,46,57,4,36.16967034549438,-83.35268686525372
Winchester,Virginia,141695,2563,$64318,30%,37,$323878,1543,$210,48,51%,$1176,54%,251,2184,11%,3%,68%,43%,49%,1%,8%,69%,15%,11%,Eastern Standard Time,86,42,44,65,24,53%,54%,42,62,88,55%,61%,52%,41,11.97,8.1,36%,36%,34%,15,4,6,26,57,4,39.17201540279891,-78.20270053932607
Wheeling,Ohio,140333,1297,$45582,21%,43,$113024,1486,$83,71,69%,$699,57%,201,1130,17%,6%,55%,27%,66%,0%,2%,91%,1%,1%,Eastern Standard Time,85,39,46,63,20,57%,54%,39,58,87,42%,52%,29%,44,12.13,10.98,40%,37%,47%,12,10,7,34,70,3,40.043981406638736,-80.79625082813588
Morgantown,West Virginia,139961,1951,$56013,46%,32,N/A,N/A,N/A,47,57%,$873,58%,214,1563,22%,8%,62%,37%,53%,2%,3%,87%,2%,4%,Eastern Standard Time,84,39,44,63,22,57%,58%,39,58,87,42%,52%,29%,45,13.57,10.29,44%,42%,50%,41,17,4,34,70,3,39.6185871113791,-79.8975725090351
La Crosse-Onalaska,Wisconsin,139097,1698,$53864,33%,32,$276978,1710,$163,49,57%,$904,62%,156,2805,17%,3%,64%,50%,41%,4%,1%,88%,2%,2%,Central Standard Time,82,25,56,63,10,60%,57%,37,60,84,52%,64%,45%,39,14.68,4.33,34%,35%,32%,52,35,8,38,69,3,43.87607195694237,-91.20641476976678
Napa,California,138795,3788,$98386,36%,40,$901860,1643,$544,42,61%,$1902,48%,310,1637,7%,4%,65%,63%,28%,8%,2%,48%,35%,22%,Pacific Standard Time,84,58,26,53,39,68%,67%,46,51,90,67%,69%,59%,23,0.25,13.14,16%,1%,31%,0,0,6,2,66,5,38.31024323155668,-122.31964072129918
Rapid City,South Dakota,138268,1141,$64906,26%,38,$342343,1934,$177,33,76%,$968,45%,615,2959,8%,3%,69%,28%,63%,1%,1%,81%,5%,3%,Mountain Standard Time,86,36,50,59,12,52%,44%,31,51,86,62%,70%,56%,19,7.68,1.39,26%,33%,21%,59,29,N/A,39,77,4,44.038071637233365,-103.08437219403537
Sumter,South Carolina,137150,1080,$45713,23%,33,$254163,2050,$123,35,59%,$885,53%,1056,4541,19%,10%,62%,54%,42%,1%,46%,42%,5%,4%,Eastern Standard Time,91,56,35,70,32,50%,52%,51,68,98,64%,67%,57%,50,16.26,10.94,33%,37%,37%,1,0,6,50,55,5,33.93242986885969,-80.40088609934223
Dunn,North Carolina,137058,1194,$46487,25%,39,$273885,1718,$165,37,57%,$816,56%,441,4167,17%,3%,52%,36%,59%,0%,24%,59%,12%,6%,N/A,91,54,37,70,31,53%,56%,47,66,100,59%,61%,55%,50,15.97,10.32,30%,34%,30%,4,2,6,42,64,4,35.384585954086596,-78.71929917976875
Eureka-Arcata-Fortuna,California,137014,1850,$52031,31%,37,$457755,1438,$322,49,54%,$1121,60%,493,3762,20%,9%,59%,55%,30%,3%,1%,71%,13%,6%,N/A,66,54,11,50,40,38%,20%,40,48,64,N/A%,N/A%,N/A%,44,1.21,20.9,36%,16%,53%,0,0,6,7,77,5,40.76490326106196,-124.10860984035268
Springfield,Ohio,136032,3965,$59940,17%,40,$218699,1432,$149,52,74%,$822,47%,257,2577,13%,8%,59%,37%,56%,0%,1%,91%,5%,1%,Eastern Standard Time,85,36,48,62,17,59%,55%,41,61,87,52%,65%,40%,43,12.47,8.94,37%,36%,40%,26,22,7,38,70,3,39.92783892053373,-83.87609890596642
Harrisonburg,Virginia,135152,2520,$58537,35%,31,$349199,2130,$164,32,50%,$990,60%,164,1459,18%,4%,61%,45%,46%,2%,5%,72%,15%,12%,Eastern Standard Time,86,43,43,64,23,58%,59%,40,59,91,59%,64%,54%,42,13.03,8.4,36%,40%,33%,16,6,4,34,60,4,38.442807030992014,-78.85925258461916
Battle Creek,Michigan,134207,1506,$45443,18%,36,$161774,1247,$128,62,67%,$790,58%,718,3111,20%,7%,61%,41%,53%,4%,13%,69%,6%,6%,Eastern Standard Time,83,32,51,62,17,62%,56%,38,58,85,50%,66%,39%,35,10.82,5.64,36%,33%,37%,55,36,8,33,72,3,42.28963528934302,-85.12039721513504
Sherman-Denison,Texas,134205,872,$57425,19%,36,$300475,1681,$177,43,62%,$1008,51%,357,2000,14%,4%,63%,21%,74%,1%,7%,69%,16%,7%,Central Standard Time,93,53,40,73,32,54%,50%,51,67,100,61%,71%,56%,44,10.49,7.96,19%,17%,18%,3,0,N/A,45,59,5,33.654204007202424,-96.6329437705197
Manhattan,Kansas,134198,3505,$54950,49%,26,$242627,1919,$126,37,46%,$932,61%,189,1550,22%,4%,70%,38%,50%,4%,5%,77%,7%,6%,Central Standard Time,90,40,50,68,18,57%,57%,42,64,100,60%,69%,54%,36,14.29,3.2,27%,33%,18%,19,8,8,55,65,4,39.20739724779894,-96.57507538853781
Carbondale-Marion,Illinois,134185,1165,$36838,33%,33,$111707,1598,$71,45,50%,$728,64%,667,2789,27%,8%,56%,41%,50%,3%,15%,71%,4%,6%,Central Standard Time,88,42,45,67,23,58%,56%,44,65,94,63%,76%,53%,50,12.73,10.57,31%,32%,28%,11,4,6,45,68,4,37.76113429167569,-89.20607711196128
Johnstown,Pennsylvania,134048,2166,$50630,23%,44,$133265,1517,$88,70,71%,$667,54%,72,479,18%,5%,55%,29%,66%,0%,5%,89%,2%,1%,Eastern Standard Time,79,33,45,60,18,56%,54%,39,58,80,42%,52%,29%,46,13.55,10.08,47%,45%,53%,80,38,7,34,78,3,40.40183068994635,-78.80453400226935
Jonesboro,Arkansas,133087,937,$48105,27%,34,$200567,1612,$123,31,55%,$794,53%,638,3569,20%,6%,62%,28%,65%,1%,16%,71%,5%,3%,Central Standard Time,90,46,43,69,29,56%,56%,50,68,99,63%,74%,52%,52,10.39,12.8,30%,28%,31%,5,0,8,53,58,4,35.7910183623794,-90.64274136069444
Bismarck,North Dakota,132661,1736,$71307,25%,35,N/A,N/A,N/A,40,72%,$924,45%,310,2695,11%,3%,71%,22%,68%,0%,1%,82%,4%,1%,Central Standard Time,85,24,60,58,4,58%,50%,30,53,86,59%,71%,50%,19,8.49,1.77,27%,32%,28%,48,37,N/A,33,79,3,46.76534868674356,-100.79927656924956
Hammond,Louisiana,132492,1200,$37174,23%,33,$194378,1548,$126,38,56%,$878,66%,1108,6604,31%,7%,53%,32%,64%,1%,43%,48%,4%,2%,Central Standard Time,91,62,29,75,43,59%,61%,57,71,105,58%,62%,51%,66,20.82,16.89,24%,32%,26%,0,0,6,71,45,5,30.563184008173867,-90.46994164698683
Pittsfield,Massachusetts,129089,808,$58203,34%,43,$364672,1925,$192,72,64%,$932,58%,506,1724,12%,5%,61%,66%,25%,2%,3%,82%,6%,7%,Eastern Standard Time,81,31,49,58,15,56%,54%,37,58,82,50%,58%,46%,45,13.84,9.49,42%,46%,41%,73,46,7,22,81,3,42.46565249025349,-73.21879553258381
Mount Vernon-Anacortes,Washington,128228,2262,$68593,28%,39,$558461,1742,$316,34,63%,$1215,46%,148,3378,12%,4%,59%,46%,42%,2%,0%,68%,23%,11%,Pacific Standard Time,74,44,29,53,34,63%,50%,42,51,74,45%,60%,27%,37,3.4,13.16,50%,27%,65%,13,4,7,6,68,2,48.45620644500864,-122.3594090009724
Jamestown-Dunkirk-Fredonia,New York,128042,1404,$46008,25%,39,$142261,1576,$88,68,63%,$700,58%,455,2837,20%,6%,55%,35%,58%,0%,2%,85%,7%,2%,N/A,80,33,47,59,17,64%,60%,38,57,83,47%,64%,30%,46,12.62,10.61,46%,41%,55%,107,53,8,35,81,3,42.2671972172446,-79.2983063829364
The Villages,Florida,127335,360,$52656,21%,53,$279456,1625,$170,20,62%,$1079,44%,615,3208,22%,7%,44%,29%,68%,2%,13%,73%,7%,8%,Eastern Standard Time,91,69,22,70,43,55%,59%,61,72,103,69%,67%,65%,49,23.56,7.19,31%,56%,21%,0,0,7,81,64,6,28.7008397796557,-82.06051055896462
Albany,Oregon,127200,1911,$59313,15%,40,$406663,1647,$250,41,61%,$1142,49%,167,2149,14%,7%,57%,30%,56%,0%,0%,85%,8%,3%,Pacific Standard Time,84,46,38,53,35,59%,42%,43,51,83,50%,67%,30%,48,2.91,18.78,47%,18%,67%,4,1,6,4,66,2,44.52118591140198,-122.84888831393349
Glens Falls,New York,127196,1200,$63701,27%,42,$270697,1700,$162,53,66%,$999,54%,128,619,11%,4%,63%,40%,52%,0%,1%,92%,2%,2%,Eastern Standard Time,81,31,50,59,12,57%,54%,37,58,83,49%,58%,44%,40,12.54,8.38,37%,40%,36%,74,38,7,22,73,2,43.34906399511612,-73.6231937950224
Lawton,Oklahoma,127105,1062,$49808,22%,31,$99679,1271,$76,44,47%,$829,54%,858,3007,18%,7%,63%,34%,59%,2%,17%,51%,14%,5%,Central Standard Time,97,53,43,71,29,50%,46%,47,64,108,66%,76%,60%,33,9.53,4.52,17%,19%,12%,5,1,N/A,48,63,5,34.61385250791087,-98.41712075526047
Cleveland,Tennessee,125347,1410,$49796,24%,35,$281173,1733,$162,38,54%,$820,51%,986,5149,18%,5%,60%,18%,77%,1%,7%,78%,9%,7%,Eastern Standard Time,88,50,38,67,28,55%,56%,48,67,95,55%,60%,46%,58,14.04,16.1,39%,39%,45%,1,0,5,55,50,4,35.16714961103505,-84.8612351022473
Sierra Vista-Douglas,Arizona,125092,316,$60425,28%,41,$302748,1873,$164,31,65%,$912,47%,260,2275,12%,6%,54%,34%,56%,2%,4%,59%,27%,8%,Mountain Standard Time,95,60,34,61,29,24%,25%,37,50,91,85%,86%,80%,14,7.48,2.2,16%,32%,13%,0,0,7,43,79,6,31.598343122309416,-110.22592135436719
Ames,Iowa,124827,2045,$60092,54%,27,$277947,1469,$189,33,54%,$932,62%,217,1651,21%,5%,65%,50%,38%,7%,2%,81%,3%,9%,Central Standard Time,84,28,56,62,11,60%,58%,39,61,88,58%,71%,49%,40,14.66,4.31,31%,35%,25%,36,20,N/A,48,68,3,42.02356052371985,-93.59567494789978
Mansfield,Ohio,124504,3319,$57050,24%,42,$158483,1381,$114,47,72%,$775,43%,302,3734,7%,3%,63%,29%,66%,1%,1%,94%,1%,2%,Eastern Standard Time,83,35,48,62,18,63%,58%,39,59,85,45%,54%,34%,43,12.48,9.48,41%,36%,48%,49,34,7,38,70,3,40.753898178461476,-82.52407821086521
Staunton-Waynesboro,Virginia,124455,960,$57083,25%,40,$283788,1618,$177,43,68%,$921,51%,214,1923,12%,4%,61%,34%,59%,1%,8%,82%,5%,3%,Eastern Standard Time,85,43,42,63,23,52%,56%,40,59,89,59%,64%,54%,43,12.7,8.33,34%,42%,28%,17,5,5,33,73,4,38.11406516408889,-78.98473604794842
Augusta-Waterville,Maine,123293,399,$46441,28%,41,$248985,1483,$167,57,61%,$801,59%,184,2014,18%,5%,58%,44%,47%,1%,0%,92%,1%,2%,N/A,80,30,50,60,11,59%,60%,36,57,82,55%,60%,55%,46,12.47,10.62,37%,40%,36%,77,25,7,17,82,2,44.38523423111764,-69.74447561895389
Altoona,Pennsylvania,123132,2561,$49385,21%,41,$123642,1692,$74,74,67%,$736,53%,483,1431,16%,5%,58%,25%,70%,0%,2%,91%,1%,1%,Eastern Standard Time,82,34,47,61,19,56%,54%,40,60,83,42%,52%,29%,44,12.55,9.17,43%,42%,44%,33,20,7,31,73,3,40.485948589760675,-78.38539276247097
New Bern,North Carolina,123024,890,$64221,26%,39,$283188,1820,$152,33,64%,$1067,44%,244,2563,11%,4%,60%,37%,59%,2%,15%,68%,9%,3%,Eastern Standard Time,89,56,33,71,35,53%,56%,47,66,96,59%,61%,55%,57,19.18,11.43,35%,40%,35%,1,0,6,42,78,4,35.01520039133109,-76.97714023881049
Farmington,New Mexico,122912,875,$51024,16%,36,N/A,N/A,N/A,36,66%,$879,54%,N/A,N/A,22%,7%,54%,27%,60%,0%,0%,39%,23%,3%,Mountain Standard Time,93,42,50,61,17,39%,33%,27,43,94,76%,78%,73%,8,2.02,2.32,15%,14%,19%,9,6,N/A,39,49,6,36.751788982563994,-108.19926703006942
St. Joseph,Missouri,122756,1469,$51830,22%,37,$152437,1423,$109,56,63%,$810,54%,526,5375,15%,4%,61%,29%,63%,1%,5%,82%,6%,3%,Central Standard Time,87,37,50,66,16,60%,59%,42,64,94,62%,70%,55%,38,14.26,4.06,25%,29%,16%,23,10,8,51,69,4,39.779867330368916,-94.7502544527745
San Angelo,Texas,121994,1590,$58551,24%,33,$198254,1394,$142,44,65%,$920,52%,353,3139,12%,3%,66%,23%,71%,1%,4%,48%,43%,5%,Central Standard Time,97,61,36,71,32,48%,45%,48,62,107,69%,77%,65%,23,6.62,3.34,15%,16%,13%,1,0,N/A,37,70,5,31.44626375405141,-100.45896536580221
Wenatchee,Washington,121130,2758,$63430,25%,36,$460643,1613,$290,45,62%,$1034,51%,143,1703,11%,3%,64%,35%,54%,0%,0%,61%,32%,13%,Pacific Standard Time,89,35,54,61,25,44%,27%,34,44,86,45%,60%,27%,10,1.08,3.99,19%,8%,30%,19,13,6,6,77,2,47.510721583498565,-120.25606595841322
Owensboro,Kentucky,120720,2671,$47666,24%,37,$192368,1465,$133,48,58%,$800,54%,212,3863,19%,5%,58%,30%,63%,2%,6%,83%,4%,3%,Eastern Standard Time,86,42,44,67,26,58%,56%,45,65,91,58%,72%,46%,53,13.2,12.0,31%,27%,34%,9,3,6,42,58,4,37.750564122646445,-87.1043057983333
Holland,Michigan,119418,1097,$67365,20%,35,$328917,1596,$197,45,84%,$752,49%,286,1684,12%,3%,61%,32%,60%,0%,0%,86%,9%,2%,N/A,82,32,50,61,19,61%,56%,38,58,85,46%,63%,28%,40,11.22,7.94,40%,34%,46%,73,45,8,34,76,3,42.63710763967932,-85.92883193583748
Lumberton,North Carolina,118836,950,$34607,19%,37,$141980,1415,$100,46,50%,$645,63%,1063,5270,32%,7%,47%,46%,50%,0%,36%,30%,8%,5%,N/A,91,54,36,71,33,52%,55%,47,66,100,59%,61%,55%,47,14.79,9.99,31%,38%,30%,2,0,6,42,56,4,34.662617233957604,-79.08934895499513
Lawrence,Kansas,118690,2354,$62709,52%,30,$258738,1510,$171,32,53%,$1002,58%,192,962,17%,4%,71%,62%,29%,5%,4%,76%,7%,6%,Central Standard Time,89,40,49,68,19,58%,58%,42,64,98,59%,68%,54%,38,13.73,4.35,27%,32%,18%,13,6,8,54,61,4,38.93868929937798,-95.24308508930902
Goldsboro,North Carolina,117692,1043,$44712,21%,36,$196284,1566,$124,45,46%,$851,58%,783,5823,22%,6%,57%,42%,54%,1%,47%,39%,7%,4%,Eastern Standard Time,89,52,37,70,31,53%,56%,47,66,95,59%,61%,55%,53,16.44,10.62,32%,34%,33%,4,1,6,42,67,4,35.37077132178022,-77.97178890602437
Watertown-Fort Drum,New York,117634,1017,$55878,26%,31,$196988,1659,$118,39,37%,$1102,42%,412,2532,11%,8%,69%,36%,56%,2%,7%,73%,12%,5%,Eastern Standard Time,80,30,50,62,11,60%,55%,38,58,81,44%,57%,32%,45,11.47,11.12,47%,40%,57%,124,40,8,26,85,3,44.02536339616536,-75.85657346443378
Sheboygan,Wisconsin,117528,1848,$79045,32%,44,$244384,1643,$148,46,83%,$806,37%,259,1456,3%,3%,66%,38%,54%,0%,0%,91%,4%,3%,Central Standard Time,80,27,53,59,12,63%,60%,36,57,82,53%,66%,44%,35,11.58,5.61,33%,37%,27%,50,26,8,34,77,3,43.75267794979946,-87.83674367523129
Weirton-Steubenville,Ohio,117446,1047,$50621,19%,46,$154723,1595,$90,63,69%,$654,53%,229,703,14%,8%,57%,28%,67%,0%,2%,92%,1%,1%,Eastern Standard Time,83,37,46,63,20,57%,54%,39,58,85,42%,52%,29%,43,12.07,9.74,41%,41%,43%,14,12,7,34,64,3,40.38556556573189,-80.64573911881465
