	Month of Period End
Douglas, AL	
Douglas, AZ	$190K
Douglas, GA	$200K
Douglas, MA	$545K
Douglas, MI	$962K
Douglass Hills, KY	$376K
Douglass, KS	$187K
Douglassville, PA	$392K
Douglasville, GA	$315K
Dousman, WI	$426K
Dove Valley, CO	$420K
Dover Base Housing, DE	
Dover Beaches North, NJ	$648K
Dover Beaches South, NJ	$600K
Dover Plains, NY	$225K
Dover, AR	
Dover, DE	$275K
Dover, FL	$443K
Dover, ID	$1,150K
Dover, IL	
Dover, KY	$11K
Dover, MA	$1,563K
Dover, MN	
Dover, MO	
Dover, NC	
Dover, NH	$520K
Dover, NJ	$335K
Dover, NY	$300K
Dover, OH	$173K
Dover, PA	$273K
Dover, TN	$380K
Dovesville, SC	
Dowagiac, MI	$148K
Dowell, IL	
Downers Grove, IL	$400K
Downey, CA	$770K
Downey, ID	$380K
Downieville-Lawson-Dumont, CO	
Downing, MO	
Downing, WI	
Downingtown, PA	$518K
Downs, IL	$425K
Downsville, LA	
Downsville, MD	
Downsville, WI	
Doyle, CA	
Doylestown, OH	$207K
Doylestown, PA	$461K
Doylestown, WI	
Doyline, LA	$145K
Dracut, MA	$430K
Dragoon, AZ	
Drain, OR	$180K
Drakesboro, KY	
Dranesville, VA	$620K
Draper, UT	$653K
Draper, VA	
Dravosburg, PA	$127K
Drayton, SC	$227K
Dresbach, MN	
Dresden, NY	
Dresden, OH	$165K
Dresden, TN	
Drew, MS	
Drexel Heights, AZ	$325K
Drexel Hill, PA	$295K
Drexel, MO	
Drexel, NC	$201K
Drexel, OH	$92K
Driftwood, TX	$2,315K
Driggs, ID	
Dripping Springs, TX	$725K
Druid Hills, GA	$1,150K
Druid Hills, KY	
Drum Point, MD	$340K
Drummond, OK	
Drumright, OK	$97K
Dry Creek, OK	
Dry Prong, LA	
Dry Ridge, KY	$250K
Dry Ridge, OH	$164K
Dry Run, OH	$423K
Dryden, MI	
Dryden, NY	$285K
Drysdale, AZ	
Dryville, PA	
Duane Lake, NY	
Duane, NY	
Duanesburg, NY	$328K
Duarte, CA	$727K
Dubach, LA	
Dubberly, LA	
Dublin, CA	$1,300K
Dublin, GA	$223K
Dublin, IN	
Dublin, OH	$542K
Dublin, PA	
Dublin, TX	$140K
Dublin, VA	
Dubois, IN	
DuBois, PA	
Duboistown, PA	$145K
Dubuque, IA	$199K
Duck Key, FL	$868K
Duck, NC	$710K
Ducktown, TN	$135K
Ducor, CA	
Dudley, GA	
Dudley, MA	$431K
Dudley, NC	
Dudleyville, AZ	
Duenweg, MO	$246K
Dufur, OR	$330K
Dugger, IN	
Dukedom, TN	
Dulac, LA	$144K
Dulles Town Center, VA	$584K
Dulles, VA	
Duluth, GA	$453K
Duluth, WA	$1,363K
Dulzura, CA	$250K
Dumas, TX	$164K
Dumb Hundred, PA	$182K
Dumbarton, VA	$284K
Dumfries, VA	$440K
Dumont, NJ	$615K
Dunbar, PA	
Dunbar, SC	
Dunbar, VA	
Dunbar, WI	
Duncan Falls, OH	
Duncan, NE	
Duncan, OK	$150K
Duncan, SC	$248K
Duncannon, PA	$165K
Duncansville, PA	$154K
Duncanville, TX	$300K
Duncombe, IA	
Dundalk, MD	$210K
Dundarrach, NC	
Dundas, MN	
Dundee, FL	$250K
Dundee, MI	$365K
Dundee, MN	
Dundee, NY	$133K
Dundee, OH	
Dundee, OR	$454K
Dune Acres, IN	
Dunean, SC	$253K
Dunedin, FL	$397K
Dunellen, NJ	$426K
Dunes City, OR	
Dunfermline, IL	
Dunkerton, IA	$164K
Dunkirk, MD	$630K
Dunkirk, NY	$98K
Dunlap, IA	$101K
Dunlap, IL	$195K
Dunlap, IN	$235K
Dunlap, OH	$258K
Dunlevy, PA	
Dunlo, PA	
Dunmor, KY	
Dunmore, PA	$195K
Dunn Loring, VA	$1,005K
Dunn, NC	$235K
Dunnavant, AL	$1,569K
Dunnell, MN	
Dunnellon, FL	$255K
Dunnigan, CA	
Dunnstown, PA	
Dunreith, IN	$78K
Dunstable, MA	$1,005K
Dunstan, ME	$690K
Dunthorpe, OR	
Dunwoody, GA	$650K
Dupo, IL	$105K
Dupont, IN	
Dupont, PA	$172K
DuPont, WA	$490K
Duquesne, MO	$279K
Duquesne, PA	$122K
Durand, IL	
Durand, MI	$200K
Durango, CO	$637K
Durant, MS	
Durant, OK	$182K
Durham, CA	$558K
Durham, CT	$420K
Durham, NC	$400K
Durham, NH	$486K
Durham, OR	
Durhamville, NY	$96K
Duryea, PA	$180K
Duson, LA	$226K
Dustin Acres, CA	
Dutch Flat, CA	
Dutch Island, GA	$870K
Dutch Neck, NJ	
Dutchtown, MO	
Dutton, AL	
Duvall, WA	$920K
Duxbury, MA	$915K
Dwight Mission, OK	
Dwight, IL	$182K
Dyckesville, WI	$752K
Dyer, AR	$204K
Dyer, IN	$306K
Dyer, TN	$105K
Dyersburg, TN	$228K
Dyersville, IA	$175K
Eagan, MN	$380K
Eagarville, IL	
Eagle Bay, NY	
Eagle Bend, MS	$227K
Eagle Creek, PA	
Eagle Crest, OR	$600K
Eagle Harbor, MD	
Eagle Harbor, MI	
Eagle Lake, FL	$347K
Eagle Lake, IL	
Eagle Lake, PA	
Eagle Lake, WI	$246K
Eagle Mountain, TX	$360K
Eagle Mountain, UT	$475K
Eagle Pass, TX	
Eagle Point, AL	$490K
Eagle Point, OR	$417K
Eagle River, MI	
Eagle Rock, VA	$225K
Eagle, CO	$1,185K
Eagle, ID	$825K
Eagle, MI	
Eagle, NE	$252K
Eagle, PA	$385K
Eagle, WI	$537K
Eagleton Village, TN	$255K
Eagleview, PA	$500K
Eagleville, PA	$360K
Eagleville, TN	$555K
Eakles Mill, MD	
Earl Park, IN	
Earl, NC	
Earle, AR	$116K
Earlham, IA	$271K
Earlimart, CA	
Earlington, KY	$118K
Earlsboro, OK	
Earlville, IL	$140K
Earlville, NY	
Early, TX	$295K
Earlysville, VA	$385K
Easley, SC	$290K
East Alliance, OH	
East Alto Bonito, TX	
East Alton, IL	$85K
East Altoona, PA	
East Atlantic Beach, NY	
East Aurora, NY	$129K
East Avon, NY	
East Bakersfield, CA	$334K
East Bangor, PA	$265K
East Barre, VT	
East Basin, UT	$953K
East Bend, NC	$240K
East Berlin, PA	$187K
East Bernard, TX	
East Bernstadt, KY	
East Berwick, PA	$172K
East Bethel, MN	$336K
East Bloomfield, NY	$190K
East Brewton, AL	$97K
East Bridgewater, MA	$440K
East Bronson, FL	$286K
East Brookfield, MA	$270K
East Brooklyn, CT	$300K
East Brooklyn, IL	
East Butler, PA	
East Camden, AR	
East Canton, OH	$160K
East Cape Girardeau, IL	$63K
East Carbon-Sunnyside, UT	$97K
East Carbon, UT	$97K
East Carondelet, IL	$85K
East Charlotte, VT	
East Chicago, IN	$150K
East Cleveland, OH	$30K
East Cleveland, TN	$136K
East Columbia, TX	
East Conemaugh, PA	$24K
East Dennis, MA	$822K
East Dorset, VT	
East Douglas, MA	$415K
East Dublin, GA	
East Duke, OK	$79K
East Dundee, IL	$234K
East Earl, PA	$435K
East End, AR	$270K
East Falmouth, MA	$949K
East Farmingdale, NY	$455K
East Fishkill, NY	$430K
East Flat Rock, NC	$245K
East Foothills, CA	$1,445K
East Frankfort, NY	$56K
East Franklin, NJ	$450K
East Freedom, PA	
East Freehold, NJ	$865K
East Fultonham, OH	
East Gaffney, SC	$100K
East Galesburg, IL	
East Garden City, NY	$880K
East Germantown, IN	
East Gillespie, IL	$55K
East Glenville, NY	$290K
East Grand Rapids, MI	$799K
East Greenbush, NY	$225K
East Greenville, PA	
East Greenwich, RI	$638K
East Griffin, GA	$169K
East Gull Lake, MN	$704K
East Hampton North, NY	$1,325K
East Hampton, CT	$280K
East Hampton, NY	$843K
East Hartford, CT	$244K
East Harwich, MA	$1,353K
East Haven, CT	$310K
East Hazel Crest, IL	
East Helena, MT	$445K
East Hemet, CA	$415K
East Herkimer, NY	$37K
East Highland Park, VA	$262K
East Hill-Meridian, WA	$645K
East Hills, NY	$1,243K
East Honolulu, HI	$1,250K
East Hope, ID	
East Islip, NY	$593K
East Ithaca, NY	$315K
East Kapolei, HI	$840K
East Kingston, NY	
East La Mirada, CA	$795K
East Lake-Orient Park, FL	$294K
East Lake, FL	$400K
East Lansdowne, PA	$162K
East Lansing, MI	$303K
East Laurinburg, NC	
East Liberty, OH	
East Liverpool, OH	$78K
East Longmeadow, MA	
East Los Angeles, CA	$644K
East Lynne, MO	
East Marion, NY	$1,700K
East Massapequa, NY	$618K
East McKeesport, PA	$105K
East Meadow, NY	$630K
East Merrimack, NH	$349K
East Millinocket, ME	$75K
East Millstone, NJ	$630K
East Milton, FL	$356K
East Missoula, MT	$345K
East Moline, IL	$112K
East Montpelier, VT	
East Moriches, NY	
East Mountain, TX	$130K
East Nassau, NY	
East New Market, MD	
East Newark, NJ	
East Newnan, GA	$175K
East Nicolaus, CA	
East Niles, CA	$293K
East Norriton, PA	$360K
East Northport, NY	$676K
East Norwich, NY	$1,200K
East Oakdale, CA	$700K
East Orange, NJ	$467K
East Orosi, CA	
East Otto, NY	$69K
East Palatka, FL	$340K
East Palestine, OH	$138K
East Palo Alto, CA	$877K
East Pasadena, CA	$2,980K
East Patchogue, NY	$470K
East Pecos, NM	
East Peoria, IL	$140K
East Pepperell, MA	$450K
East Peru, IA	
East Petersburg, PA	
East Pittsburgh, PA	$113K
East Pleasant View, CO	
East Point, AL	
East Point, GA	$300K
East Port Orchard, WA	$435K
East Porterville, CA	$394K
East Poultney, VT	$110K
East Prospect, PA	$210K
East Providence, RI	$365K
East Quogue, NY	$990K
East Rancho Dominguez, CA	$644K
East Randolph, NY	
East Renton Highlands, WA	$705K
East Richmond Heights, CA	$1,030K
East Riverdale, MD	$340K
East Rochester, NY	$192K
East Rochester, OH	
East Rochester, PA	
East Rockaway, NY	$156K
East Rockingham, NC	
East Rocky Hill, NJ	$462K
East Rutherford, NJ	$553K
East San Gabriel, CA	$935K
East Sandwich, MA	$944K
East Setauket, NY	$683K
East Sharpsburg, PA	
East Shoreham, NY	$785K
East Side, PA	
East Sonora, CA	$350K
East Sparta, OH	$125K
East Spencer, NC	$220K
East Springfield, OH	
East St. Louis, IL	$29K
East Stroudsburg, PA	$265K
East Sumter, SC	$184K
East Syracuse, NY	$177K
East Troy, WI	$355K
East Tulare Villa, CA	
East Uniontown, PA	
East Valley, NV	
East Vandergrift, PA	$73K
East Verde Estates, AZ	$300K
East Village, CT	$560K
East Vineland, NJ	
East Walpole, MA	
East Washington, PA	$345K
East Wenatchee, WA	$425K
East Whittier, CA	$795K
East Williston, FL	$157K
East Williston, NY	$2,300K
East Worcester, NY	
East York, PA	$225K
Eastborough, KS	$526K
Eastchester, NY	$300K
Eastern Goleta Valley, CA	$1,400K
Eastgate, WA	$1,110K
Eastham, MA	$745K
Easthampton Town, MA	$361K
Easthampton, MA	$361K
Eastlake, OH	$163K
Eastlawn Gardens, PA	$308K
Eastmont, WA	$650K
Easton, CA	$326K
Easton, KS	$10K
Easton, MA	$535K
Easton, MD	$403K
Easton, MO	
Easton, NY	
Easton, PA	$267K
Easton, TX	
Easton, WA	
Eastover, NC	$273K
Eastpointe, MI	$154K
Eastport, NY	$1,025K
Eastvale, CA	$833K
Eastvale, PA	
Eastwood, LA	$203K
Eastwood, MI	$160K
Eaton Estates, OH	
Eaton Rapids, MI	$186K
Eaton, CO	$463K
Eaton, IN	$50K
Eaton, NY	
Eatons Neck, NY	$1,550K
Eatontown, NJ	$592K
Eatonville, FL	$239K
Eatonville, WA	$469K
Eau Claire, MI	$223K
Eau Claire, PA	
Eau Claire, WI	$272K
Ebensburg, PA	$165K
Echelon, NJ	$390K
Echo Hills, CO	$1,275K
Echo Lake, CA	$3,100K
Echo Lake, WA	$995K
Echo, LA	
Echo, OR	
Echo, UT	
Echols County, GA	
Eckhart Mines, MD	$124K
Eclectic, AL	
Economy, IN	
Economy, PA	$192K
Ecorse, MI	$83K
Ecru, MS	
Ector, TX	
Edcouch, TX	$205K
Eddington, PA	$315K
Eddystone, PA	$210K
Eddyville, IA	$155K
Eddyville, NE	
Eden Isle, LA	$380K
Eden Prairie, MN	$446K
Eden Roc, HI	
Eden, ID	$265K
Eden, MS	
Eden, NC	$154K
Eden, NY	$479K
Eden, UT	$799K
Eden, WI	
Edenborn, PA	
Edenburg, PA	
Edgar Springs, MO	
Edgar, MT	
Edgar, WI	
Edgard, LA	
Edgartown, MA	$9,000K
Edgecliff Village, TX	$341K
Edgefield, SC	$1,124K
Edgemere, MD	$300K
Edgemont Park, MI	$183K
Edgemont, MD	
Edgemoor, DE	$163K
Edgerton, KS	$241K
Edgerton, MO	$196K
Edgerton, WI	$275K
Edgewater, AL	
Edgewater, CO	$691K
Edgewater, FL	$316K
Edgewater, MD	$398K
Edgewater, NJ	$498K
Edgewood, FL	$614K
Edgewood, IL	
Edgewood, IN	$248K
Edgewood, KY	$324K
Edgewood, MD	$223K
Edgewood, NM	$353K
Edgewood, OH	$125K
Edgewood, PA	$165K
Edgewood, WA	$730K
Edgeworth, PA	
Edgington, IL	
Edie, PA	
Edina, MN	$620K
Edinboro, PA	
Edinburg, IL	
Edinburg, NY	
Edinburg, TX	$253K
Edinburgh, IN	$320K
Edison, CA	
Edison, NJ	$515K
Edison, OH	$218K
Edison, WA	
Edisto, SC	$144K
Edmeston, NY	
Edmond, OK	$356K
Edmonds, WA	$870K
Edmondson, AR	
Edmonston, MD	
Edmonton, KY	
Edmore, MI	$193K
Edmund, WI	
Edmundson Acres, CA	
Edmundson, MO	
Edna, CA	
Edna, KS	
Edneyville, NC	$660K
Edwards AFB, CA	
Edwards, CO	$2,295K
Edwards, MS	
Edwardsburg, MI	$225K
Edwardsport, IN	
Edwardsville, IL	$315K
Edwardsville, KS	$219K
Edwardsville, PA	$95K
Effie, MN	
Effingham, IL	$235K
Effingham, KS	
Effort, PA	$250K
Efland, NC	$270K
Egan, LA	$175K
Egg Harbor City, NJ	$195K
Eggertsville, NY	$211K
Eggleston, VA	
Egremont, MA	$275K
Egypt Lake-Leto, FL	$325K
Egypt, AL	
Egypt, AR	
Egypt, PA	$277K
Eidson Road, TX	
Eighty Four, PA	$525K
Eitzen, MN	$379K
Ekron, KY	
El Adobe, CA	$650K
El Cajon, CA	$700K
El Campo, TX	$186K
El Capitan, AZ	
El Cenizo, TX	
El Centro, CA	
El Cerrito, CA	$888K
El Chaparral, TX	
El Dorado Hills, CA	$859K
El Dorado, AR	
El Dorado, KS	$156K
El Duende, NM	
El Granada, CA	$1,450K
El Jebel, CO	$1,450K
El Lago, TX	$305K
El Macero, CA	$975K
El Mirage, AZ	$343K
El Mirage, CA	
El Monte, CA	$640K
El Nido, CA	
El Paso de Robles, CA	$645K
El Paso, AR	
El Paso, IL	$35K
El Paso, TX	$237K
El Portal, FL	$950K
El Prado Estates, AZ	
El Rancho Vela, TX	
El Rancho, CA	
El Rancho, NM	$687K
El Reno, OK	$213K
El Rio, CA	$1,300K
El Rito, NM	
El Segundo, CA	$1,775K
El Sobrante, CA	$696K
El Valle de Arroyo Seco, NM	
El Verano, CA	$835K
Elaine, AR	
Eland, WI	
Elba, AL	
Elba, MN	
Elba, NY	$310K
Elbe, WA	
Elberfeld, IN	
Elbert, CO	$850K
Elberta, AL	$445K
Elberta, MI	$48K
Elberta, PA	$125K
Elberta, UT	
Elbing, KS	
Elbridge, NY	$268K
Elburn, IL	$394K
Elco, PA	
Elderon, WI	$157K
Eldersburg, MD	$418K
Elderton, PA	
Eldon, IA	
Eldon, OK	$165K
Eldora, CO	
Eldorado at Santa Fe, NM	$695K
Eldorado Springs, CO	
Eldorado, MD	
Eldorado, OK	
Eldorado, PA	
Eldred, PA	$166K
Eldridge, AL	
Eldridge, CA	
Eldridge, IA	$290K
Electra, TX	$78K
Electric City, WA	
Eleele, HI	
Elephant Head, AZ	
Elfers, FL	$229K
Elfrida, AZ	
Elgin, AZ	
Elgin, IL	$305K
Elgin, MN	$280K
Elgin, OH	
Elgin, OK	$300K
Elgin, OR	
Elgin, PA	
Elgin, SC	$159K
Elgin, TX	$330K
Elida, NM	
Elida, OH	
Elim, PA	$80K
Elizabeth City, NC	$220K
Elizabeth Lake, CA	$350K
Elizabeth, CO	$624K
Elizabeth, IN	
Elizabeth, MN	
Elizabeth, NJ	$563K
Elizabeth, PA	$241K
Elizabethton, TN	$185K
Elizabethtown, IN	$328K
Elizabethtown, KY	$270K
Elizabethtown, OH	
Elizabethtown, PA	$310K
Elizabethville, PA	$115K
Elk City, KS	
Elk City, OK	$171K
Elk Creek, KY	
Elk Garden, WV	
Elk Grove Village, IL	$335K
Elk Grove, CA	$630K
Elk Mound, WI	
Elk Plain, WA	$450K
Elk Point, SD	
Elk Ridge, UT	$718K
Elk River, MN	$380K
Elk Run Heights, IA	$230K
Elkhart Lake, WI	$435K
Elkhart, IA	$325K
Elkhart, IL	
Elkhart, IN	$153K
Elkhart, TX	
Elkhorn, CA	$908K
Elkhorn, WI	$288K
Elkin, NC	$254K
Elkins Park, PA	$259K
Elkins, AR	$247K
Elkmont, AL	$260K
Elko New Market, MN	$500K
Elko, NV	$370K
Elkridge, MD	$490K
Elkton, MD	$240K
Elkton, MN	
Elkton, OR	
Elkton, SD	
Elkton, VA	$286K
Elkville, IL	
Ellaville, GA	
Ellenboro, NC	$218K
Ellenburg, NY	$168K
Ellendale, MN	
Ellensburg, WA	$464K
Ellenton, FL	$284K
Ellenville, NY	$267K
Ellerbe, NC	$300K
Ellerslie, MD	
Ellery, NY	$374K
Ellettsville, IN	$274K
Ellicott City, MD	$588K
Ellicott, CO	
Ellicott, NY	
Ellicottville, NY	
Ellington, NY	$130K
Ellinwood, KS	$128K
Elliott, MD	$155K
Elliott, MS	
Ellis, KS	$55K
Ellisburg, NJ	$382K
Ellisburg, NY	
Elliston, VA	$209K
Ellisville, IL	
Ellisville, MO	$390K
Elloree, SC	$412K
Ellport, PA	$162K
Ellsworth, IL	
Ellsworth, MN	
Ellsworth, PA	$120K
Ellsworth, WI	$230K
Ellwood City, PA	$166K
Elm City, NC	
Elm Creek, NE	
Elm Creek, TX	
Elm Grove, WI	$595K
Elm Hall, MI	
Elm Springs, AR	$700K
Elma Center, NY	$485K
Elma, NY	$405K
Elma, WA	$345K
Elmendorf, TX	$257K
Elmer, NJ	$363K
Elmer, OK	
Elmhurst, IL	$471K
Elmira Heights, NY	$52K
Elmira, CA	
Elmira, MO	
Elmira, NY	$117K
Elmira, OR	
Elmo, MO	
Elmo, TX	$205K
Elmont, NY	$585K
Elmore, AL	
Elmore, OH	$150K
Elmsford, NY	$612K
Elmwood Park, IL	$340K
Elmwood Park, NJ	$464K
Elmwood Park, WI	$192K
Elmwood Place, OH	$94K
Elmwood, IL	$102K
Elmwood, LA	$166K
Elmwood, NE	$155K
Elmwood, WI	
Elnora, IN	
Elon, NC	$345K
Eloy, AZ	$355K
Elrama, PA	$110K
Elrod, NC	
Elrosa, MN	
Elroy, NC	$170K
Elsa, TX	$168K
Elsah, IL	
Elsberry, MO	$238K
Elsie, MI	
Elsmere, DE	$255K
Elsmere, KY	$198K
Elton, LA	$90K
Elvaston, IL	
Elverson, PA	$485K
Elverta, CA	$445K
Elwood, IL	$235K
Elwood, IN	$191K
Elwood, NE	
Elwood, NJ	$225K
Elwood, NY	$652K
Elwood, UT	
Ely, IA	
Elyria, KS	
Elyria, OH	$143K
Elysburg, PA	$214K
Elysian, MN	
Embreeville, TN	
Emden, IL	
Emerald Bay, TX	
Emerald Isle, NC	$682K
Emerald Lake Hills, CA	$3,363K
Emerald Lakes, PA	$331K
Emerald Mountain, AL	$400K
Emerald, NE	
Emerald, WI	
Emerson, GA	
Emerson, IA	$50K
Emerson, NJ	$980K
Emery, SD	
Emeryville, CA	$466K
Emhouse, TX	
Emigration Canyon, UT	$1,838K
Emigsville, PA	$214K
Emily, MN	$245K
Eminence, KY	$228K
Emington, IL	
Emison, IN	
Emlenton, PA	
Emlyn, KY	$255K
Emma, MO	$187K
Emma, NC	$349K
Emmaus, PA	$340K
Emmet, AR	
Emmett, ID	$379K
Emmett, KS	
Emmett, MI	$237K
Emmitsburg, MD	$475K
Emmons, MN	
Emory, VA	$200K
Empire City, OK	
Empire, CA	$361K
Empire, CO	
Empire, LA	
Empire, MI	$520K
Empire, OH	
Emporia, KS	$172K
Emsworth, PA	$160K
Encantada-Ranchito-El Calaboz, TX	
Encantado, NM	$815K
Enchanted Oaks, TX	$700K
Encinitas, CA	$1,566K
Encore at Monroe, NJ	
Endicott, NY	$130K
Endicott, WA	
Endwell, NY	$230K
Energy, IL	$255K
Enetai, WA	$395K
Enfield, NC	$175K
Enfield, NH	$380K
Enfield, NY	$170K
England, AR	
Englewood Cliffs, NJ	$1,400K
Englewood, CO	$570K
Englewood, FL	$325K
Englewood, NJ	$461K
Englewood, OH	$215K
Englewood, PA	
Englewood, TN	$178K
English Creek, NJ	$306K
Englishtown, NJ	$552K
Enhaut, PA	$188K
Enid, OK	$158K
Enlow, PA	$270K
Ennis, TX	$270K
Enoch, UT	
Enochville, NC	
Enola, AR	$112K
Enola, PA	$191K
Enon Valley, PA	
Enon, OH	$235K
Enon, VA	$235K
Enoree, SC	
Enosburg Falls, VT	
Ensenada, NM	
Ensley, FL	$257K
Enterprise, AL	$237K
Enterprise, NV	$435K
Enterprise, UT	
Entiat, WA	
Enumclaw, WA	$653K
Enville, TN	
Eola, OR	
Ephesus, GA	
Ephrata, PA	$226K
Ephrata, WA	$290K
Ephratah, NY	$182K
Epping, NH	$587K
Epworth, IA	
Equality, AL	
Erath, LA	
Erda, UT	$595K
Erhard, MN	
Erick, OK	
Erie, CO	$695K
Erie, IL	
Erie, PA	$107K
Erin, NY	$35K
Erlands Point-Kitsap Lake, WA	$382K
Erlands Point, WA	
Erlanger, KY	$230K
Erma, NJ	$425K
Ernest, PA	
Ernstville, MD	
Erving, MA	$338K
Erwin, NC	$215K
Erwin, NY	$220K
Erwin, TN	$220K
Erwinville, LA	
Escalon, CA	$600K
Escanaba, MI	$131K
Escatawpa, MS	$143K
Eschbach, WA	
Escobares, TX	
Escondido, CA	$713K
Eskridge, KS	
Esmont, VA	
Esopus, NY	$333K
Espanola, NM	$269K
Española, NM	$269K
Esparto, CA	$784K
Esperance, NY	$240K
Esperance, WA	$829K
Espy, PA	
Essex Fells, NJ	$857K
Essex Junction, VT	$464K
Essex Village, CT	$910K
Essex, CA	
Essex, IL	
Essex, MA	$658K
Essex, MD	$275K
Essex, MT	
Essexville, MI	$125K
Essig, MN	
Estacada, OR	$510K
Estell Manor, NJ	$124K
Estelle, LA	$225K
Estelline, SD	
Ester, AK	$235K
Estero, FL	$555K
Estes Park, CO	$730K
Estherwood, LA	
Estill Springs, TN	$276K
Estral Beach, MI	$228K
Ethan, SD	
Ethridge, TN	
Etna Green, IN	$177K
Etna, OH	$317K
Etna, PA	$200K
Eton, GA	
Etowah, AR	$50K
Etowah, NC	$363K
Etowah, OK	
Etowah, TN	$179K
Etta, OK	
Ettrick, VA	$305K
Eubank, KY	
Eucalyptus Hills, CA	$896K
Euclid, OH	$129K
Eudora, KS	$285K
Eudora, MS	
Eufaula, AL	
Eugene, MO	
Eugene, OR	$495K
Eugenio Saenz, TX	
Euharlee, GA	$274K
Euless, TX	$373K
Eulonia, GA	
Eunice, LA	$73K
Eunice, NM	$165K
Eunola, AL	
Eupora, MS	
Eureka Mill, SC	$185K
Eureka Roadhouse, AK	
Eureka, CA	$353K
Eureka, IL	$170K
Eureka, MI	
Eureka, MO	$361K
Eureka, NC	
Eureka, NV	
Eureka, TX	
Eureka, UT	
Eureka, WI	
Eustace, TX	$185K
Eustis, FL	$318K
Eutaw, AL	$225K
Eutawville, SC	
Eva, AL	
Evan, MN	
Evans City, PA	
Evans Mills, NY	
Evans, CO	$396K
Evans, GA	$440K
Evans, NY	$162K
Evansburg, PA	
Evansdale, IA	$150K
Evanston, IL	$355K
Evansville, AR	
Evansville, IN	$150K
Evansville, MN	$205K
Evansville, WI	$305K
Evant, TX	
Evaro, MT	
Evendale, OH	$407K
Evening Shade, AR	$137K
Evening Shade, OK	$188K
Everett, GA	
Everett, MA	$617K
Everett, WA	$530K
Everglades, FL	$300K
Evergreen Park, IL	$265K
Evergreen, CO	$975K
Evergreen, MT	$535K
Everly, IA	
Everman, TX	$206K
Everson, PA	$37K
Everson, WA	$555K
Everton, AR	
EWA Beach, HI	$957K
EWA Gentry, HI	$790K
EWA Villages, HI	$820K
Ewing, MO	
Ewing, NJ	$320K
Excelsior Estates, MO	
Excelsior Springs, MO	$215K
Excelsior, MN	$915K
Exeter, CA	$345K
Exeter, IL	
Exeter, NH	$484K
Exeter, NY	
Exeter, PA	$209K
Exeter, RI	$450K
Experiment, GA	$143K
Export, PA	$302K
Exton, PA	$650K
Eyers Grove, PA	
Eyota, MN	$358K
Fabens, TX	$191K
Fabius, NY	
Faceville, GA	
Factoryville, PA	
Fair Grove, MO	$214K
Fair Haven, NJ	$1,265K
Fair Haven, NY	$650K
Fair Haven, VT	$69K
Fair Lakes, VA	$536K
Fair Lawn, NJ	$578K
Fair Oaks Ranch, TX	$687K
Fair Oaks, CA	$623K
Fair Oaks, GA	$335K
Fair Oaks, OK	
Fair Oaks, OR	
Fair Oaks, VA	$670K
Fair Plain, MI	$120K
Fair Play, MO	$197K
Fair Play, SC	
Fairacres, NM	
Fairbanks Ranch, CA	$3,980K
Fairbanks, AK	$290K
Fairborn, OH	$197K
Fairburn, GA	$302K
Fairbury, IL	$170K
Fairchance, PA	$139K
Fairchild, WI	
Fairchilds, TX	
Fairdealing, MO	
Fairfax Station, VA	$945K
Fairfax, CA	$803K
Fairfax, IA	$220K
Fairfax, OH	$145K
Fairfax, OK	
Fairfax, VA	$650K
Fairfax, VT	$450K
Fairfield Beach, OH	$350K
Fairfield Glade, TN	$419K
Fairfield Harbour, NC	$268K
Fairfield Plantation, GA	$377K
Fairfield, AL	$111K
Fairfield, CA	$615K
Fairfield, IA	$118K
Fairfield, ID	
Fairfield, KY	
Fairfield, NY	$200K
Fairfield, OH	$248K
Fairfield, PA	$190K
Fairfield, TN	
Fairfield, UT	
Fairfield, WA	
Fairforest, SC	$229K
Fairgarden, TN	
Fairhaven, CA	
Fairhaven, MA	$603K
Fairhaven, MN	
Fairhope, AL	$470K
Fairhope, PA	$115K
Fairland, IN	$260K
Fairland, MD	$444K
Fairland, OK	
Fairlawn, OH	$288K
Fairlawn, VA	$475K
Fairlee, VT	
Fairless Hills, PA	$370K
Fairmead, CA	
Fairmont City, IL	
Fairmont, IL	$184K
Fairmont, MN	$200K
Fairmont, NC	$93K
Fairmount Heights, MD	$323K
Fairmount, CO	$855K
Fairmount, GA	
Fairmount, IL	
Fairmount, IN	$155K
Fairmount, NY	$226K
Fairplains, NC	$160K
Fairplay, CO	
Fairplay, GA	$256K
Fairplay, MD	$115K
Fairport Harbor, OH	
Fairport, IA	
Fairport, NY	$265K
Fairton, NJ	
Fairview Heights, IL	$263K
Fairview Park, IN	
Fairview Park, OH	$293K
Fairview Shores, FL	$345K
Fairview-Ferndale, PA	$73K
Fairview, AL	$360K
Fairview, CA	$1,000K
Fairview, IL	
Fairview, KY	$355K
Fairview, MD	
Fairview, MO	
Fairview, NC	$664K
Fairview, NJ	$596K
Fairview, NY	$367K
Fairview, OH	
Fairview, OR	$410K
Fairview, PA	$180K
Fairview, SD	
Fairview, TN	$412K
Fairview, TX	$620K
Fairwater, WI	
Fairway, KS	$425K
Fairwood, MD	$718K
Fairwood, WA	$610K
Faith, NC	
Faith, SD	
Falcon Heights, MN	$410K
Falcon Heights, OR	
Falcon Heights, TX	
Falcon Lake Estates, TX	
Falcon Mesa, TX	
Falcon, NC	
Falconaire, TX	
Falconer, NY	$135K
Falkville, AL	$158K
