County,County Population,Predominant City,State,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,UV Index,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Bristol County,32810,Bristol,Rhode Island,2094,$58659,39%,N/A,$536774,1978,$272,54,56%,N/A,54%,103,725,N/A%,3%,N/A%,57%,35%,1%,2%,N/A%,2%,N/A%,Eastern Standard Time,86,37,49,50,36,7,71,3,41.691524477951845,-71.26832386555319,57%,61%,55%,55%,56%,19,39,59,65,24,11.66,13.52,37%,34%,41%,13
Calumet County,32775,Harrison (Calumet Cnty),Wisconsin,624,$76433,28%,39,$258544,1796,$142,37,81%,$1058,36%,81,525,6%,2%,75%,36%,57%,1%,0%,91%,4%,1%,Central Standard Time,82,26,56,36,52,8,83,3,44.13361633032189,-88.22008350117774,55%,67%,48%,63%,59%,31,35,57,61,11,12.97,4.9,34%,36%,32%,29
Oconto County,32767,Little Suamico,Wisconsin,313,$55940,15%,44,$194076,1640,$116,37,69%,$765,40%,191,1443,11%,3%,54%,29%,66%,0%,1%,92%,2%,1%,Central Standard Time,80,25,55,33,53,8,86,3,44.890744682805874,-88.14125550586262,55%,67%,48%,63%,59%,31,35,57,58,8,11.19,4.96,30%,34%,27%,24
Williams County,32673,Williston,North Dakota,860,$84253,23%,41,N/A,N/A,N/A,30,40%,$750,45%,437,2599,4%,1%,70%,13%,78%,1%,5%,69%,6%,6%,N/A,85,25,60,15,38,N/A,81,3,48.160788379398895,-103.6500633179659,60%,73%,52%,58%,47%,27,29,50,57,6,6.4,1.3,27%,31%,26%,38
Carroll County,32635,Brown township (Carroll Cnty),Ohio,447,$46406,17%,45,$254159,1775,$143,48,67%,$633,42%,N/A,N/A,12%,3%,59%,24%,70%,0%,3%,95%,1%,0%,Eastern Standard Time,84,36,47,45,43,8,76,3,40.60985667387774,-81.12525375683163,43%,56%,29%,60%,56%,37,39,58,62,20,12.88,9.68,42%,44%,41%,38
Navarro County,32544,Corsicana,Texas,890,$45629,14%,35,$267483,1715,$154,45,66%,$785,47%,701,2915,16%,5%,61%,24%,73%,0%,15%,47%,30%,15%,N/A,97,58,38,43,0,6,58,5,32.08041098138212,-96.47334321686331,61%,71%,56%,54%,50%,43,53,68,74,35,8.68,9.01,23%,18%,25%,0
Juneau City and County,32434,Juneau,Alaska,12,$84750,38%,N/A,N/A,N/A,N/A,37,60%,N/A,46%,N/A,N/A,4%,3%,N/A%,35%,52%,6%,N/A%,N/A%,6%,8%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81,1,N/A,N/A,N/A%,N/A%,N/A%,N/A%,N/A%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A%,N/A%,N/A%,N/A
Liberty County,32380,Liberty,Texas,312,$50238,11%,35,$257176,1738,$145,39,70%,$854,46%,372,4230,11%,6%,56%,20%,77%,0%,15%,57%,24%,10%,Central Standard Time,93,63,30,58,0,7,61,6,30.130544014669553,-94.90283354915996,55%,65%,47%,59%,57%,60,58,71,73,40,16.93,11.92,30%,30%,34%,0
Tehama County,32296,Red Bluff,California,1492,$45715,14%,35,$276518,1167,$239,42,52%,$958,52%,733,4554,23%,9%,55%,28%,64%,1%,0%,60%,32%,10%,N/A,97,56,40,20,26,6,53,4,40.11063813463896,-122.20832561439808,77%,95%,51%,38%,20%,4,45,51,65,37,0.48,10.85,16%,2%,31%,6
Lincoln County,32290,Newport,Oregon,1184,$48175,26%,49,$624138,2091,$306,42,59%,$944,50%,263,2222,15%,7%,50%,49%,39%,1%,0%,79%,11%,6%,N/A,68,49,18,80,1,6,85,2,44.74972748143388,-124.01584199855373,50%,67%,30%,59%,42%,4,43,51,51,38,4.62,33.67,49%,23%,70%,0
Des Moines County,32149,Burlington,Iowa,1558,$48365,19%,41,$122470,1320,$92,68,68%,$809,53%,N/A,N/A,17%,4%,61%,43%,49%,1%,7%,84%,3%,2%,N/A,85,33,52,38,18,N/A,68,3,40.8247644307879,-91.1415674912501,53%,63%,46%,59%,57%,46,39,62,66,16,13.39,5.05,31%,32%,26%,9
Yates County,32087,Milo,New York,600,$48453,26%,39,$256963,1536,$168,63,55%,$649,49%,N/A,N/A,13%,3%,56%,36%,56%,1%,1%,92%,2%,2%,Eastern Standard Time,82,34,48,30,48,8,88,3,42.620994195752175,-77.05847490416991,47%,63%,32%,60%,55%,27,38,58,62,18,9.46,5.05,36%,40%,32%,31
Lafayette County,32072,Oxford,Mississippi,1524,$44302,53%,27,N/A,N/A,N/A,22,37%,$966,68%,N/A,N/A,38%,4%,58%,40%,55%,3%,23%,69%,2%,4%,N/A,91,53,38,59,0,6,56,4,34.35727839980981,-89.50937449123535,63%,74%,52%,57%,56%,53,50,68,71,31,13.11,16.51,33%,30%,39%,0
Ellis County,32038,Hays,Kansas,1890,$53550,37%,32,N/A,N/A,N/A,48,67%,$735,49%,268,1713,14%,3%,71%,23%,70%,1%,0%,90%,5%,2%,N/A,93,45,48,25,14,N/A,75,4,38.88711906279106,-99.33999588969351,68%,78%,64%,50%,46%,48,39,59,67,20,10.45,2.39,15%,21%,8%,4
Lamar County,32019,Paris,Texas,691,$39074,17%,39,$183443,1374,$132,41,55%,$719,55%,N/A,N/A,21%,4%,58%,19%,78%,1%,18%,68%,7%,3%,N/A,97,54,43,51,1,7,57,5,33.66646470341361,-95.52867341035325,61%,71%,56%,54%,50%,46,51,67,75,33,11.5,9.83,26%,21%,29%,0
Hocking County,31997,Falls township (Hocking Cnty),Ohio,618,$44669,16%,38,$216490,1528,$137,46,61%,$605,45%,N/A,N/A,18%,5%,56%,29%,65%,0%,1%,93%,1%,0%,Eastern Standard Time,84,38,45,43,11,7,71,5,39.53778345520205,-82.44549040316281,45%,54%,35%,58%,55%,42,44,64,62,19,12.61,9.48,31%,28%,35%,3
Greene County,31991,Paragould,Arkansas,876,$48799,18%,35,$183534,1710,$106,31,60%,$731,46%,1022,4665,17%,7%,60%,21%,73%,0%,3%,90%,2%,0%,N/A,90,46,44,55,6,8,63,5,36.066770505067055,-90.50980742158731,63%,74%,52%,56%,56%,53,50,68,70,28,12.44,13.4,33%,29%,36%,1
Columbia County,31478,St. Helens,Oregon,2152,$63191,18%,39,$425855,1663,$255,39,71%,$1056,49%,205,980,10%,5%,60%,38%,49%,0%,0%,86%,7%,2%,Pacific Standard Time,81,45,36,45,4,7,65,2,45.8660595933255,-122.8938770061821,50%,67%,30%,59%,47%,6,44,52,54,32,2.59,18.98,45%,18%,64%,1
Harnett County,31438,Dunn,North Carolina,1315,$40572,24%,38,$296966,1789,$163,39,57%,$788,57%,442,4180,20%,3%,51%,36%,59%,0%,24%,58%,13%,7%,N/A,91,54,37,50,4,6,64,4,35.379943082613394,-78.69756364482156,59%,61%,55%,53%,56%,42,47,66,70,31,16.03,10.4,30%,34%,30%,2
Gibson County,31387,Humboldt,Tennessee,817,$40685,16%,39,$219622,1736,$119,46,56%,$690,53%,533,2442,19%,6%,53%,26%,70%,0%,24%,66%,3%,1%,N/A,89,47,42,57,4,7,67,5,35.92546293853825,-88.8710058095135,63%,75%,53%,57%,56%,53,50,68,69,27,12.5,15.14,33%,29%,38%,1
Hancock County,31232,Bay St. Louis,Mississippi,775,$50258,32%,47,$287367,1575,$182,25,78%,$854,42%,N/A,N/A,12%,5%,57%,19%,78%,0%,10%,80%,5%,2%,Central Standard Time,90,60,29,63,0,8,70,5,30.334867688143568,-89.37844819663806,58%,62%,51%,62%,64%,67,59,73,74,41,20.81,15.63,29%,39%,31%,0
Lee County,31218,Sanford,North Carolina,1020,$47444,21%,34,$272795,1691,$161,38,53%,$780,53%,N/A,N/A,20%,5%,64%,41%,54%,2%,26%,43%,26%,12%,N/A,91,53,38,47,4,6,57,4,35.48608872918829,-79.17133745535268,59%,61%,55%,53%,56%,42,47,66,69,31,14.3,9.87,25%,28%,26%,2
Delta County,31215,Escanaba,Michigan,452,$41273,21%,45,$172000,1024,$168,54,65%,$975,44%,491,1814,13%,5%,41%,34%,59%,0%,0%,80%,1%,1%,N/A,78,26,51,33,121,7,84,3,45.83626509905815,-87.13406429386511,55%,67%,48%,63%,59%,28,35,57,56,8,10.18,5.31,40%,36%,43%,55
Wexford County,31195,Cadillac,Michigan,778,$42884,18%,38,$128760,1750,$73,44,64%,$689,45%,443,3034,20%,5%,58%,28%,65%,0%,1%,94%,2%,0%,N/A,80,27,53,37,84,8,85,3,44.31405568603302,-85.50412013314956,46%,63%,28%,62%,55%,31,35,55,57,12,10.43,6.54,45%,37%,54%,54
Lincoln County,31153,Ruston,Louisiana,924,$32563,39%,25,$188000,1825,$103,37,36%,$724,71%,N/A,N/A,37%,4%,56%,38%,57%,1%,50%,42%,3%,4%,N/A,93,58,35,58,0,7,53,5,32.53905532202356,-92.64836123534491,58%,69%,50%,58%,56%,55,54,70,72,34,12.42,16.12,25%,22%,31%,0
Stanly County,31119,Albemarle,North Carolina,754,$49816,17%,40,$276003,1584,$172,50,65%,$778,51%,904,5466,16%,6%,58%,23%,73%,1%,18%,72%,4%,3%,N/A,89,51,38,46,3,6,58,4,35.32815922868666,-80.23810316886791,64%,68%,58%,52%,55%,38,47,66,69,30,13.94,10.75,24%,26%,26%,0
Dale County,31007,Ozark,Alabama,439,$45917,20%,37,$143705,1354,$106,39,47%,$797,50%,N/A,N/A,19%,11%,55%,23%,73%,2%,24%,61%,8%,3%,N/A,92,61,31,53,0,5,48,5,31.38638561507079,-85.6666919018028,58%,62%,50%,55%,56%,57,53,69,71,38,15.34,15.98,31%,41%,34%,0
Johnson County,30985,Warrensburg,Missouri,1705,$49334,35%,26,$219217,1763,$125,33,43%,$804,60%,N/A,N/A,19%,4%,66%,27%,64%,2%,5%,82%,5%,3%,N/A,89,40,48,43,17,8,61,4,38.74885901172826,-93.71443643732127,62%,70%,55%,60%,59%,51,42,64,67,18,14.71,5.29,25%,26%,18%,8
Miller County,30906,Texarkana,Arkansas,704,$41372,18%,39,$218000,1493,$146,42,58%,$742,55%,610,3770,21%,9%,54%,26%,70%,0%,34%,56%,4%,2%,Central Standard Time,93,54,39,48,2,7,36,5,33.43087549498479,-93.99087068366012,58%,69%,50%,58%,56%,55,54,70,72,34,10.26,12.5,26%,22%,30%,0
Madison County,30847,Rexburg,Idaho,2776,$34136,42%,23,N/A,N/A,N/A,19,38%,$784,37%,20,415,32%,8%,68%,7%,57%,1%,0%,86%,8%,5%,N/A,85,28,56,12,74,N/A,66,3,43.82561680959574,-111.78960242614517,62%,79%,43%,45%,25%,23,29,41,52,13,2.38,2.96,25%,19%,30%,34
Acadia County,30820,Crowley,Louisiana,1804,$35472,14%,36,$130327,1942,$68,48,54%,$629,55%,1155,3556,31%,11%,51%,20%,77%,0%,27%,64%,3%,1%,Central Standard Time,91,61,30,64,0,7,63,5,30.253607490752753,-92.34507091916937,67%,81%,48%,62%,62%,75,59,73,73,41,19.56,15.48,30%,38%,34%,0
Petersburg County,30791,Petersburg,Virginia,1355,$43029,20%,37,$195000,1639,$119,52,37%,$958,69%,748,3306,22%,12%,62%,87%,10%,1%,76%,14%,4%,3%,Eastern Standard Time,90,49,41,48,3,7,49,4,37.204266,-77.3913376,62%,67%,56%,53%,55%,34,46,66,69,28,15.08,9.35,31%,32%,31%,0
Lincoln County,30645,Harrisburg,South Dakota,1080,$77902,32%,31,$305042,1860,$165,32,82%,$929,39%,214,1403,4%,1%,81%,32%,61%,0%,1%,94%,1%,0%,Central Standard Time,85,26,59,30,47,N/A,85,3,43.38523287102952,-96.73953845823462,56%,63%,56%,60%,56%,44,35,58,63,7,12.11,2.79,30%,34%,24%,28
Pulaski County,30510,Fort Leonard Wood,Missouri,721,$56723,31%,26,$195928,1851,$105,32,25%,$1070,54%,N/A,N/A,14%,4%,75%,21%,72%,3%,14%,61%,14%,7%,N/A,88,43,45,48,15,N/A,63,4,37.802658624605044,-92.17297143816126,57%,68%,49%,58%,57%,54,43,64,66,21,14.11,8.25,22%,23%,16%,15
Marion County,30499,Fairmont,West Virginia,1810,$50187,26%,37,N/A,N/A,N/A,66,67%,$762,54%,N/A,N/A,18%,6%,59%,29%,62%,0%,5%,88%,1%,1%,N/A,83,39,43,48,23,4,70,3,39.480495929541945,-80.17332383576182,42%,52%,29%,58%,59%,34,40,59,63,23,14.93,10.69,45%,46%,49%,16
Latah County,30445,Moscow,Idaho,3349,$45084,48%,27,$483876,2094,$230,43,52%,$720,58%,26,1326,21%,6%,66%,44%,40%,2%,1%,87%,3%,5%,N/A,85,36,49,24,54,5,84,3,46.729146738597464,-116.96517533205453,52%,73%,28%,48%,28%,10,37,46,45,21,2.37,9.38,36%,17%,49%,25
Sullivan County,30384,Hamilton township (Sullivan Cnty),Indiana,1314,$44351,10%,41,$400000,1493,$268,50,65%,$638,50%,N/A,N/A,16%,4%,59%,24%,71%,1%,5%,95%,1%,0%,Eastern Standard Time,86,38,47,47,13,6,77,4,39.112556614352954,-87.39225725477554,55%,69%,44%,58%,56%,42,44,64,66,21,13.33,9.34,32%,30%,34%,8
Green County,30377,Monroe,Wisconsin,973,$56350,20%,42,$195606,1477,$132,44,72%,$704,43%,72,1133,9%,3%,65%,48%,45%,1%,0%,96%,3%,2%,Central Standard Time,83,27,55,41,39,8,80,3,42.659143309026554,-89.58825982400171,52%,64%,45%,60%,57%,40,37,58,62,11,15.14,5.8,33%,35%,31%,24
Madison County,30352,Norfolk,Nebraska,2033,$50679,23%,36,N/A,N/A,N/A,49,69%,$703,51%,N/A,N/A,15%,3%,68%,18%,74%,1%,1%,77%,16%,8%,N/A,85,32,53,27,32,N/A,81,4,42.00765699355232,-97.46049010266869,60%,71%,53%,56%,54%,47,37,60,63,11,11.18,2.3,23%,29%,17%,17
Grady County,30313,Chickasha,Oklahoma,543,$58549,21%,39,$201103,1867,$102,46,67%,$712,46%,318,2122,12%,3%,56%,17%,77%,0%,3%,78%,6%,1%,Central Standard Time,94,51,42,37,6,N/A,58,5,35.11101079929074,-97.89508402483753,66%,76%,60%,55%,53%,49,46,64,70,27,11.61,4.5,19%,20%,15%,2
Cecil County,30235,Elkton,Maryland,1657,$63086,22%,36,$302799,1790,$172,34,58%,$1044,56%,N/A,N/A,16%,5%,63%,30%,63%,1%,12%,75%,7%,5%,Eastern Standard Time,87,41,46,50,22,7,63,4,39.60139226166033,-75.90808958983298,55%,61%,50%,55%,55%,29,43,63,68,25,15.62,11.15,35%,35%,37%,8
Rio Arriba County,30066,Espanola,New Mexico,653,$39858,16%,41,$342692,1654,$182,38,69%,$661,62%,N/A,N/A,23%,7%,50%,64%,24%,0%,0%,8%,75%,2%,N/A,88,43,44,13,26,N/A,83,5,36.24088453457217,-106.24002191450498,76%,78%,73%,31%,27%,39,29,44,54,14,4.45,2.72,19%,27%,17%,9
Henderson County,30051,Henderson,Kentucky,1719,$41339,17%,40,$144000,1440,$100,45,54%,$684,52%,229,2460,22%,3%,55%,34%,61%,0%,10%,81%,3%,1%,Central Standard Time,88,42,46,52,9,6,61,4,37.83484815252738,-87.58024583598882,58%,72%,46%,58%,56%,42,45,65,67,24,12.08,11.76,31%,27%,34%,4
Rockingham County,30037,Bridgewater,Virginia,1525,$66529,35%,39,$333091,1992,$171,33,73%,$976,45%,44,777,7%,3%,65%,25%,69%,1%,3%,87%,6%,6%,Eastern Standard Time,86,43,42,41,16,4,75,4,38.43535110988448,-78.83123112107734,59%,64%,54%,57%,58%,34,40,59,63,23,12.72,8.1,36%,40%,33%,6
Oktibbeha County,29988,Starkville,Mississippi,1035,$41013,50%,27,N/A,N/A,N/A,33,47%,$818,66%,N/A,N/A,29%,9%,54%,48%,47%,3%,33%,59%,2%,4%,N/A,92,55,37,61,0,6,51,5,33.46149474341737,-88.83338558032546,59%,66%,50%,57%,56%,58,53,69,71,33,13.57,18.5,31%,33%,36%,0
Albemarle County,29929,Hollymead,Virginia,2264,$79512,64%,41,$536610,2358,$224,27,63%,$1527,51%,N/A,N/A,9%,4%,66%,58%,34%,8%,6%,81%,5%,12%,Eastern Standard Time,88,45,42,43,17,6,62,4,38.07653763304655,-78.53029217658,59%,64%,54%,52%,55%,34,46,66,67,26,12.13,8.51,33%,36%,30%,6
Elmore County,29910,Mountain Home,Idaho,1844,$43385,17%,31,$325000,1563,$208,38,61%,$820,48%,373,1581,14%,5%,61%,21%,68%,3%,2%,74%,14%,12%,N/A,99,42,57,11,19,7,81,4,43.124543167796716,-115.68010892119693,63%,81%,38%,42%,23%,14,33,42,59,24,1.37,3.93,23%,8%,35%,16
Calaveras County,29897,Rancho Calaveras,California,586,$63949,20%,48,N/A,N/A,N/A,32,72%,$1585,45%,N/A,N/A,11%,4%,48%,33%,57%,1%,1%,79%,14%,4%,N/A,93,54,38,27,0,7,73,5,38.13738036641468,-120.65418193111013,77%,96%,51%,45%,28%,3,46,51,63,36,0.28,13.87,18%,1%,34%,0
Hamblen County,29887,Morristown,Tennessee,1082,$33511,15%,37,$270000,2077,$130,46,50%,$714,57%,848,4736,27%,8%,55%,19%,76%,1%,7%,68%,19%,8%,Eastern Standard Time,87,46,41,51,9,6,56,4,36.2042992,-83.300079,57%,66%,44%,57%,58%,46,48,66,67,26,14.04,13.7,37%,37%,43%,7
Howard County,29856,Big Spring,Texas,1423,$55810,12%,36,$50000,1316,$38,56,64%,$877,56%,537,3709,18%,8%,51%,20%,76%,0%,6%,42%,47%,12%,N/A,96,58,38,19,6,N/A,67,6,32.23942982301045,-101.470441317571,71%,79%,65%,48%,45%,37,42,58,72,31,6.26,2.27,11%,12%,7%,1
Barrow County,29773,Winder,Georgia,1132,$54385,17%,35,$308940,1738,$177,28,68%,$946,46%,N/A,N/A,13%,6%,66%,22%,72%,3%,16%,62%,14%,8%,Eastern Standard Time,88,51,37,52,3,8,54,5,33.99276854640782,-83.73683055424378,60%,63%,53%,55%,57%,49,49,66,69,34,13.48,14.76,34%,37%,39%,0
Greenwood County,29767,Greenwood,South Carolina,1309,$34229,19%,33,$255115,1876,$133,54,50%,$707,65%,1338,5161,28%,6%,57%,37%,59%,1%,44%,42%,10%,7%,N/A,91,54,37,47,3,6,53,5,34.20802868268216,-82.15461040615446,64%,67%,57%,50%,52%,42,48,66,69,32,11.84,13.47,32%,35%,34%,0
Webster County,29686,Fort Dodge,Iowa,1339,$45996,20%,38,$80000,1127,$71,63,68%,$642,58%,421,3020,15%,3%,57%,36%,57%,1%,5%,84%,6%,3%,N/A,83,26,56,40,33,N/A,80,3,42.487721455948936,-94.17467277947517,58%,71%,49%,60%,58%,48,39,61,62,8,16.21,3.83,29%,30%,26%,15
Cherokee County,29549,Tahlequah,Oklahoma,789,$38131,30%,32,$195856,1341,$145,34,55%,$678,57%,68,4305,19%,6%,54%,33%,60%,1%,1%,50%,7%,3%,N/A,92,50,42,51,6,7,48,4,35.90171002870486,-94.98177756303765,60%,71%,53%,56%,55%,53,47,67,70,27,12.98,9.05,27%,27%,21%,1
Fauquier County,29542,New Baltimore,Virginia,1372,$108548,39%,37,$576435,3103,$194,29,76%,$1671,46%,140,1092,5%,2%,67%,34%,59%,3%,8%,73%,11%,9%,Eastern Standard Time,87,42,44,47,20,7,69,4,38.71981744357187,-77.7683184907183,56%,62%,52%,53%,53%,28,43,63,68,24,14.27,9.65,33%,33%,33%,7
Tipton County,29524,Atoka,Tennessee,750,$63931,20%,36,$282088,1868,$148,30,68%,$969,48%,569,2261,13%,5%,62%,24%,72%,0%,24%,69%,2%,1%,Central Standard Time,89,46,43,57,4,8,61,5,35.48058014051957,-89.73661252747935,63%,74%,52%,56%,56%,53,50,68,69,28,12.04,15.56,24%,21%,26%,1
Randolph County,29448,Archdale,North Carolina,962,$52627,16%,40,$251593,1632,$155,39,68%,$712,47%,N/A,N/A,15%,4%,61%,20%,76%,2%,8%,78%,7%,4%,Eastern Standard Time,89,50,38,48,7,6,60,4,35.854109652974735,-79.87165641801822,62%,65%,56%,52%,55%,41,46,65,68,29,13.51,10.49,29%,31%,30%,2
Seneca County,29381,Seneca Falls,New York,1015,$50222,23%,44,$196579,1782,$113,62,68%,$774,50%,N/A,N/A,15%,4%,64%,40%,51%,1%,2%,89%,3%,3%,N/A,79,31,48,39,51,8,84,3,42.85970179342092,-76.81501900163713,44%,57%,32%,60%,55%,26,38,58,60,16,12.04,7.78,44%,43%,45%,33
Harrison County,29311,Marshall,Texas,809,$46270,20%,36,$131681,1436,$91,48,60%,$845,53%,N/A,N/A,20%,6%,59%,26%,70%,1%,31%,46%,18%,7%,N/A,94,57,37,50,0,7,45,5,32.52858834531745,-94.36504044465902,58%,69%,50%,58%,56%,55,54,70,71,33,11.16,12.39,25%,23%,29%,0
Orangeburg County,29289,Orangeburg,South Carolina,1069,$28704,20%,37,$160326,1431,$109,48,52%,$654,68%,736,3069,29%,13%,51%,67%,30%,0%,72%,24%,0%,1%,N/A,92,59,33,50,1,6,53,4,33.4751877142306,-80.83442376413329,64%,67%,57%,50%,52%,51,51,68,70,36,16.35,11.74,31%,37%,33%,0
Pittsburg County,29182,McAlester,Oklahoma,779,$43106,17%,39,$183219,1524,$120,47,67%,$710,49%,474,5133,20%,7%,51%,21%,73%,0%,3%,68%,6%,2%,N/A,93,52,40,49,3,7,41,5,34.95518717781509,-95.71712130432802,59%,70%,53%,56%,55%,49,47,67,71,29,13.58,8.05,24%,23%,20%,0
Scott County,29122,Sikeston,Missouri,1047,$43761,20%,39,$143068,1471,$94,47,61%,$717,52%,N/A,N/A,20%,4%,60%,20%,76%,0%,15%,77%,2%,1%,N/A,90,44,45,55,9,6,68,4,36.996488127786556,-89.58663073049928,64%,77%,54%,58%,57%,50,47,66,70,27,11.92,12.49,28%,27%,26%,4
Wyoming County,29090,Tunkhannock township (Wyoming Cnty),Pennsylvania,1417,$52255,20%,40,$148952,1515,$101,49,64%,$677,47%,N/A,N/A,13%,5%,55%,28%,66%,0%,2%,85%,2%,2%,Eastern Standard Time,84,35,49,43,41,7,80,3,41.53686794732898,-75.93001433942594,49%,61%,41%,58%,55%,28,37,57,62,19,13.46,8.61,39%,40%,42%,26
Fredericksburg County,29059,Fredericksburg,Virginia,2781,$69528,42%,31,$400000,2198,$182,37,44%,$1287,59%,N/A,N/A,13%,5%,69%,59%,33%,3%,18%,58%,11%,10%,Eastern Standard Time,89,46,43,45,13,7,50,4,38.2991926,-77.4871505,62%,67%,56%,53%,55%,34,46,66,68,25,13.51,9.09,32%,34%,32%,5
Mille Lacs County,28897,Princeton,Minnesota,618,$45177,14%,37,$285789,1705,$169,42,66%,$743,52%,346,4572,16%,4%,60%,28%,64%,1%,0%,90%,2%,0%,Central Standard Time,81,21,60,31,49,N/A,80,3,45.75580259337647,-93.62386820730528,50%,60%,45%,63%,61%,39,33,57,59,2,12.87,2.91,30%,36%,22%,23
Sagadahoc County,28850,Bath,Maine,444,$61574,36%,43,$365562,1735,$210,51,70%,$883,43%,51,1169,10%,3%,64%,49%,43%,1%,0%,94%,2%,3%,Eastern Standard Time,79,31,47,50,76,7,83,2,43.93940471886655,-69.86200570889427,55%,60%,55%,59%,60%,17,36,57,58,11,12.67,12.57,37%,37%,39%,25
Saunders County,28811,Wahoo,Nebraska,1896,$62420,24%,38,$269282,1706,$162,51,74%,$799,42%,76,422,9%,3%,67%,23%,69%,0%,1%,92%,3%,1%,Central Standard Time,86,33,53,33,25,8,82,4,41.17600669866023,-96.5406643988303,60%,72%,53%,58%,56%,45,40,62,65,13,12.84,3.18,24%,30%,17%,11
Fremont County,28722,Canon City,Colorado,1015,$49141,24%,48,$309173,1566,$204,42,70%,$884,43%,508,4142,11%,4%,50%,24%,68%,0%,0%,89%,9%,1%,N/A,88,48,40,13,40,8,88,5,38.40395169319864,-105.14454244131517,78%,82%,74%,36%,32%,35,30,48,59,17,5.45,1.67,19%,30%,14%,18
Coos County,28702,Berlin,New Hampshire,253,$43549,17%,45,$161112,1449,$117,59,59%,$685,50%,161,976,13%,4%,54%,42%,50%,0%,3%,91%,2%,2%,N/A,78,26,52,46,97,7,93,3,44.552852474733456,-71.37319227456275,52%,60%,49%,58%,56%,19,35,57,54,5,14.2,9.35,46%,48%,50%,48
Carlton County,28701,Cloquet,Minnesota,440,$55886,19%,39,$217869,1543,$142,50,72%,$891,53%,100,2114,21%,4%,54%,46%,44%,0%,5%,82%,2%,2%,Central Standard Time,80,19,60,32,74,7,67,3,46.634260009149514,-92.57465776568762,50%,60%,45%,63%,61%,33,29,52,56,1,13.23,3.61,32%,37%,28%,44
Limestone County,28670,Athens,Alabama,652,$52395,27%,40,$337964,2046,$164,39,67%,$658,48%,N/A,N/A,13%,5%,58%,23%,72%,1%,17%,70%,8%,4%,Central Standard Time,90,51,39,58,2,7,52,5,34.79624984935821,-86.94612552102545,57%,62%,48%,57%,57%,56,49,67,71,32,13.53,17.78,34%,33%,39%,0
Hale County,28615,Plainview,Texas,1351,$46312,17%,33,$157887,1788,$88,54,60%,$650,51%,73,737,17%,4%,61%,23%,71%,0%,3%,29%,63%,10%,N/A,92,52,40,18,7,N/A,76,6,34.12905057399266,-101.74178222771624,72%,80%,66%,45%,46%,48,41,59,68,26,7.0,1.89,16%,22%,10%,2
Alpena County,28565,Alpena,Michigan,794,$39212,17%,56,$112124,1682,$67,52,63%,$599,46%,585,1605,15%,6%,57%,33%,61%,0%,1%,97%,1%,1%,N/A,78,27,51,33,63,7,84,3,45.06341234952213,-83.46463578598285,48%,63%,35%,61%,55%,32,34,55,59,13,9.64,5.94,48%,39%,60%,31
Jersey County,28553,Jersey,Illinois,566,$56713,26%,39,$158635,1539,$104,46,72%,$724,47%,N/A,N/A,10%,4%,54%,24%,70%,1%,1%,93%,1%,2%,Central Standard Time,87,37,49,43,17,N/A,70,4,39.094824330070395,-90.31988824584457,57%,67%,49%,58%,55%,46,44,65,66,20,12.66,7.68,28%,27%,25%,11
Gallia County,28450,Green township (Gallia Cnty),Ohio,477,$41116,18%,35,$227227,1542,$144,41,60%,$680,48%,N/A,N/A,23%,4%,47%,20%,75%,1%,3%,84%,4%,2%,N/A,85,41,44,45,9,5,66,4,38.82070454457646,-82.27492331076624,45%,54%,35%,57%,58%,42,44,64,65,22,13.23,10.78,37%,36%,40%,7
Scotts Bluff County,28233,Scottsbluff,Nebraska,2026,$52015,22%,36,N/A,N/A,N/A,54,64%,$815,50%,N/A,N/A,13%,4%,64%,22%,70%,0%,0%,66%,28%,4%,N/A,89,39,50,15,40,N/A,82,4,41.86174403649275,-103.67901454472778,64%,67%,60%,47%,40%,43,32,52,59,13,5.35,1.34,24%,26%,18%,23
Codington County,28067,Watertown,South Dakota,1052,$54255,20%,38,N/A,N/A,N/A,41,68%,$757,45%,301,1650,15%,2%,69%,27%,66%,0%,0%,90%,3%,2%,N/A,82,22,60,23,45,N/A,82,3,44.91925396655859,-97.15724697047422,63%,73%,58%,60%,55%,38,33,57,60,3,9.75,2.26,26%,32%,22%,24
